
Proc ID  MPI_Rank   File #     File Pos 	 # of Bytes 	 Time(s)     I/O Op
===================================================================================== 
26502      0      0             0             0         0.014997  MPI_OPEN
26502      0      0             0             0         0.020491  MPI_SEEK
26502      0      0             0       1048576         0.020497  MPI_READ
26502      0      0       1048576       1048576         0.031380  MPI_READ
26502      0      0       2097152       1048576         0.041197  MPI_READ
26502      0      0       3145728       1048576         0.053332  MPI_READ
26502      0      0       4194304       1048576         0.063223  MPI_READ
26502      0      0       5242880       1048576         0.073821  MPI_READ
26502      0      0       6291456       1048576         0.083550  MPI_READ
26502      0      0       7340032       1048576         0.094218  MPI_READ
26502      0      0       8388608       1048576         0.104041  MPI_READ
26502      0      0       9437184       1048576         0.114539  MPI_READ
26502      0      0      10485760       1048576         0.125038  MPI_READ
26502      0      0      11534336       1048576         0.134898  MPI_READ
26502      0      0      12582912       1048576         0.144678  MPI_READ
26502      0      0      13631488       1048576         0.154392  MPI_READ
26502      0      0      14680064       1048576         0.164143  MPI_READ
26502      0      0      15728640       1048576         0.173986  MPI_READ
26502      0      0      16777216       1048576         0.183727  MPI_READ
26502      0      0      17825792       1048576         0.193480  MPI_READ
26502      0      0      18874368       1048576         0.203225  MPI_READ
26502      0      0      19922944       1048576         0.213092  MPI_READ
26502      0      0      20971520       1048576         0.222858  MPI_READ
26502      0      0      22020096       1048576         0.232592  MPI_READ
26502      0      0      23068672       1048576         0.242323  MPI_READ
26502      0      0      24117248       1048576         0.252103  MPI_READ
26502      0      0      25165824       1048576         0.261838  MPI_READ
26502      0      0      26214400       1048576         0.271686  MPI_READ
26502      0      0      27262976       1048576         0.282162  MPI_READ
26502      0      0      28311552       1048576         0.293443  MPI_READ
26502      0      0      29360128       1048576         0.303395  MPI_READ
26502      0      0      30408704       1048576         0.313156  MPI_READ
26502      0      0      31457280       1048576         0.323385  MPI_READ
26502      0      0      32505856       1048576         0.333175  MPI_READ
26502      0      0      33554432       1048576         0.342993  MPI_READ
26502      0      0      34603008       1048576         0.354003  MPI_READ
26502      0      0      35651584       1048576         0.381966  MPI_READ
26502      0      0      36700160       1048576         0.391851  MPI_READ
26502      0      0      37748736       1048576         0.401701  MPI_READ
26502      0      0      38797312       1048576         0.411472  MPI_READ
26502      0      0      39845888       1048576         0.421199  MPI_READ
26502      0      0      40894464       1048576         0.431054  MPI_READ
26502      0      0      41943040       1048576         0.440803  MPI_READ
