
Proc ID  MPI_Rank   File #     File Pos 	 # of Bytes 	 Time(s)     I/O Op
===================================================================================== 
10653      0      0             0             0         0.038132  MPI_OPEN
10653      0      0             0             0         0.043720  MPI_SEEK
10653      0      0             0       1048576         0.043729  MPI_READ
10653      0      0    1073741824             0         0.093102  MPI_SEEK
10653      0      0    1073741824       1048576         0.093116  MPI_READ
10653      0      0       2097152             0         0.171448  MPI_SEEK
10653      0      0       2097152       1048576         0.171462  MPI_READ
10653      0      0    1075838976             0         0.181805  MPI_SEEK
10653      0      0    1075838976       1048576         0.181818  MPI_READ
10653      0      0       4194304             0         0.250952  MPI_SEEK
10653      0      0       4194304       1048576         0.250965  MPI_READ
10653      0      0    1077936128             0         0.311745  MPI_SEEK
10653      0      0    1077936128       1048576         0.311759  MPI_READ
10653      0      0       6291456             0         0.378307  MPI_SEEK
10653      0      0       6291456       1048576         0.378321  MPI_READ
10653      0      0    1080033280             0         0.460123  MPI_SEEK
10653      0      0    1080033280       1048576         0.460135  MPI_READ
10653      0      0       8388608             0         0.548302  MPI_SEEK
10653      0      0       8388608       1048576         0.548314  MPI_READ
10653      0      0    1082130432             0         0.587393  MPI_SEEK
10653      0      0    1082130432       1048576         0.587407  MPI_READ
10653      0      0      10485760             0         0.628264  MPI_SEEK
10653      0      0      10485760       1048576         0.628276  MPI_READ
10653      0      0    1084227584             0         0.638151  MPI_SEEK
10653      0      0    1084227584       1048576         0.638163  MPI_READ
10653      0      0      12582912             0         0.667933  MPI_SEEK
10653      0      0      12582912       1048576         0.667950  MPI_READ
10653      0      0    1086324736             0         0.711286  MPI_SEEK
10653      0      0    1086324736       1048576         0.711305  MPI_READ
10653      0      0      14680064             0         0.770952  MPI_SEEK
10653      0      0      14680064       1048576         0.770964  MPI_READ
10653      0      0    1088421888             0         0.826051  MPI_SEEK
10653      0      0    1088421888       1048576         0.826063  MPI_READ
10653      0      0      16777216             0         0.901924  MPI_SEEK
10653      0      0      16777216       1048576         0.901940  MPI_READ
10653      0      0    1090519040             0         0.944374  MPI_SEEK
10653      0      0    1090519040       1048576         0.944387  MPI_READ
10653      0      0      18874368             0         0.996423  MPI_SEEK
10653      0      0      18874368       1048576         0.996435  MPI_READ
10653      0      0    1092616192             0         1.006277  MPI_SEEK
10653      0      0    1092616192       1048576         1.006289  MPI_READ
10653      0      0      20971520             0         1.057712  MPI_SEEK
10653      0      0      20971520       1048576         1.057730  MPI_READ
10653      0      0    1094713344             0         1.106164  MPI_SEEK
10653      0      0    1094713344       1048576         1.106234  MPI_READ
10653      0      0      23068672             0         1.145831  MPI_SEEK
10653      0      0      23068672       1048576         1.145843  MPI_READ
10653      0      0    1096810496             0         1.210463  MPI_SEEK
10653      0      0    1096810496       1048576         1.210475  MPI_READ
10653      0      0      25165824             0         1.277320  MPI_SEEK
10653      0      0      25165824       1048576         1.277332  MPI_READ
10653      0      0    1098907648             0         1.329127  MPI_SEEK
10653      0      0    1098907648       1048576         1.329140  MPI_READ
10653      0      0      27262976             0         1.374482  MPI_SEEK
10653      0      0      27262976       1048576         1.374494  MPI_READ
10653      0      0    1101004800             0         1.384264  MPI_SEEK
10653      0      0    1101004800       1048576         1.384276  MPI_READ
10653      0      0      29360128             0         1.424335  MPI_SEEK
10653      0      0      29360128       1048576         1.424347  MPI_READ
10653      0      0    1103101952             0         1.471089  MPI_SEEK
10653      0      0    1103101952       1048576         1.471101  MPI_READ
10653      0      0      31457280             0         1.522716  MPI_SEEK
10653      0      0      31457280       1048576         1.522728  MPI_READ
10653      0      0    1105199104             0         1.581269  MPI_SEEK
10653      0      0    1105199104       1048576         1.581282  MPI_READ
10653      0      0      33554432             0         1.648158  MPI_SEEK
10653      0      0      33554432       1048576         1.648170  MPI_READ
10653      0      0    1107296256             0         1.695819  MPI_SEEK
10653      0      0    1107296256       1048576         1.695835  MPI_READ
10653      0      0      35651584             0         1.739848  MPI_SEEK
10653      0      0      35651584       1048576         1.739861  MPI_READ
10653      0      0    1109393408             0         1.749676  MPI_SEEK
10653      0      0    1109393408       1048576         1.749687  MPI_READ
10653      0      0      37748736             0         1.795207  MPI_SEEK
10653      0      0      37748736       1048576         1.795220  MPI_READ
10653      0      0    1111490560             0         1.837633  MPI_SEEK
10653      0      0    1111490560       1048576         1.837650  MPI_READ
10653      0      0      39845888             0         1.889397  MPI_SEEK
10653      0      0      39845888       1048576         1.889407  MPI_READ
10653      0      0    1113587712             0         1.952265  MPI_SEEK
10653      0      0    1113587712       1048576         1.952277  MPI_READ
10653      0      0      41943040             0         2.018032  MPI_SEEK
10653      0      0      41943040       1048576         2.018048  MPI_READ
10653      0      0    1115684864             0         2.058903  MPI_SEEK
10653      0      0    1115684864       1048576         2.058920  MPI_READ
10653      0      0      44040192             0         2.101406  MPI_SEEK
10653      0      0      44040192       1048576         2.101419  MPI_READ
10653      0      0    1117782016             0         2.111336  MPI_SEEK
10653      0      0    1117782016       1048576         2.111347  MPI_READ
10653      0      0      46137344             0         2.151653  MPI_SEEK
10653      0      0      46137344       1048576         2.151666  MPI_READ
10653      0      0    1119879168             0         2.204700  MPI_SEEK
10653      0      0    1119879168       1048576         2.204713  MPI_READ
10653      0      0      48234496             0         2.250210  MPI_SEEK
10653      0      0      48234496       1048576         2.250222  MPI_READ
10653      0      0    1121976320             0         2.308780  MPI_SEEK
10653      0      0    1121976320       1048576         2.308792  MPI_READ
10653      0      0      50331648             0         2.375565  MPI_SEEK
10653      0      0      50331648       1048576         2.375578  MPI_READ
10653      0      0    1124073472             0         2.415749  MPI_SEEK
10653      0      0    1124073472       1048576         2.415761  MPI_READ
10653      0      0      52428800             0         2.470144  MPI_SEEK
10653      0      0      52428800       1048576         2.470160  MPI_READ
10653      0      0    1126170624             0         2.480049  MPI_SEEK
10653      0      0    1126170624       1048576         2.480061  MPI_READ
10653      0      0      54525952             0         2.527688  MPI_SEEK
10653      0      0      54525952       1048576         2.527699  MPI_READ
10653      0      0    1128267776             0         2.572962  MPI_SEEK
10653      0      0    1128267776       1048576         2.572994  MPI_READ
10653      0      0      56623104             0         2.623564  MPI_SEEK
10653      0      0      56623104       1048576         2.623580  MPI_READ
10653      0      0    1130364928             0         2.684713  MPI_SEEK
10653      0      0    1130364928       1048576         2.684725  MPI_READ
10653      0      0      58720256             0         2.784928  MPI_SEEK
10653      0      0      58720256       1048576         2.784940  MPI_READ
10653      0      0    1132462080             0         2.824374  MPI_SEEK
10653      0      0    1132462080       1048576         2.824386  MPI_READ
10653      0      0      60817408             0         2.871447  MPI_SEEK
10653      0      0      60817408       1048576         2.871459  MPI_READ
10653      0      0    1134559232             0         2.881346  MPI_SEEK
10653      0      0    1134559232       1048576         2.881358  MPI_READ
10653      0      0      62914560             0         2.921808  MPI_SEEK
10653      0      0      62914560       1048576         2.921820  MPI_READ
10653      0      0    1136656384             0         2.967516  MPI_SEEK
10653      0      0    1136656384       1048576         2.967534  MPI_READ
10653      0      0      65011712             0         3.006796  MPI_SEEK
10653      0      0      65011712       1048576         3.006813  MPI_READ
10653      0      0    1138753536             0         3.092701  MPI_SEEK
10653      0      0    1138753536       1048576         3.092718  MPI_READ
10653      0      0      67108864             0         3.147441  MPI_SEEK
10653      0      0      67108864       1048576         3.147456  MPI_READ
10653      0      0    1140850688             0         3.186755  MPI_SEEK
10653      0      0    1140850688       1048576         3.186765  MPI_READ
10653      0      0      69206016             0         3.242651  MPI_SEEK
10653      0      0      69206016       1048576         3.242666  MPI_READ
10653      0      0    1142947840             0         3.254523  MPI_SEEK
10653      0      0    1142947840       1048576         3.254542  MPI_READ
10653      0      0      71303168             0         3.303546  MPI_SEEK
10653      0      0      71303168       1048576         3.303567  MPI_READ
10653      0      0    1145044992             0         3.348795  MPI_SEEK
10653      0      0    1145044992       1048576         3.348808  MPI_READ
10653      0      0      73400320             0         3.402067  MPI_SEEK
10653      0      0      73400320       1048576         3.402084  MPI_READ
10653      0      0    1147142144             0         3.459929  MPI_SEEK
10653      0      0    1147142144       1048576         3.459942  MPI_READ
10653      0      0      75497472             0         3.526732  MPI_SEEK
10653      0      0      75497472       1048576         3.526747  MPI_READ
10653      0      0    1149239296             0         3.571357  MPI_SEEK
10653      0      0    1149239296       1048576         3.571370  MPI_READ
10653      0      0      77594624             0         3.617675  MPI_SEEK
10653      0      0      77594624       1048576         3.617688  MPI_READ
10653      0      0    1151336448             0         3.628815  MPI_SEEK
10653      0      0    1151336448       1048576         3.628827  MPI_READ
10653      0      0      79691776             0         3.670054  MPI_SEEK
10653      0      0      79691776       1048576         3.670069  MPI_READ
10653      0      0    1153433600             0         3.715273  MPI_SEEK
10653      0      0    1153433600       1048576         3.715285  MPI_READ
10653      0      0      81788928             0         3.758635  MPI_SEEK
10653      0      0      81788928       1048576         3.758647  MPI_READ
10653      0      0    1155530752             0         3.817472  MPI_SEEK
10653      0      0    1155530752       1048576         3.817484  MPI_READ
10653      0      0      83886080             0         3.883251  MPI_SEEK
10653      0      0      83886080       1048576         3.883275  MPI_READ
10653      0      0    1157627904             0         3.921738  MPI_SEEK
10653      0      0    1157627904       1048576         3.921750  MPI_READ
10653      0      0      85983232             0         3.974797  MPI_SEEK
10653      0      0      85983232       1048576         3.974809  MPI_READ
10653      0      0    1159725056             0         3.984732  MPI_SEEK
10653      0      0    1159725056       1048576         3.984744  MPI_READ
10653      0      0      88080384             0         4.023649  MPI_SEEK
10653      0      0      88080384       1048576         4.023660  MPI_READ
10653      0      0    1161822208             0         4.060527  MPI_SEEK
10653      0      0    1161822208       1048576         4.060540  MPI_READ
10653      0      0      90177536             0         4.100742  MPI_SEEK
10653      0      0      90177536       1048576         4.100754  MPI_READ
10653      0      0    1163919360             0         4.167364  MPI_SEEK
10653      0      0    1163919360       1048576         4.167376  MPI_READ
10653      0      0      92274688             0         4.234228  MPI_SEEK
10653      0      0      92274688       1048576         4.234240  MPI_READ
10653      0      0    1166016512             0         4.273218  MPI_SEEK
10653      0      0    1166016512       1048576         4.273230  MPI_READ
10653      0      0      94371840             0         4.327817  MPI_SEEK
10653      0      0      94371840       1048576         4.327830  MPI_READ
10653      0      0    1168113664             0         4.337770  MPI_SEEK
10653      0      0    1168113664       1048576         4.337781  MPI_READ
10653      0      0      96468992             0         4.380498  MPI_SEEK
10653      0      0      96468992       1048576         4.380511  MPI_READ
10653      0      0    1170210816             0         4.425478  MPI_SEEK
10653      0      0    1170210816       1048576         4.425489  MPI_READ
10653      0      0      98566144             0         4.479005  MPI_SEEK
10653      0      0      98566144       1048576         4.479017  MPI_READ
10653      0      0    1172307968             0         4.538269  MPI_SEEK
10653      0      0    1172307968       1048576         4.538281  MPI_READ
10653      0      0     100663296             0         4.605157  MPI_SEEK
10653      0      0     100663296       1048576         4.605169  MPI_READ
10653      0      0    1174405120             0         4.649732  MPI_SEEK
10653      0      0    1174405120       1048576         4.649745  MPI_READ
10653      0      0     102760448             0         4.704520  MPI_SEEK
10653      0      0     102760448       1048576         4.704535  MPI_READ
10653      0      0    1176502272             0         4.714388  MPI_SEEK
